word,quality,def1,def2,def3
fluff,2,"The soft, puffy fur that makes every kitty look like a huggable cloud","What cats are mostly made of, along with purrs and a little bit of mischief",The fluffy stuff that floats off a cat and lands on absolutely everything you own
sniff,2,A cat's way of investigating every new object with its super-powered nose,The careful nose-wiggle a kitty does before deciding if something is friend or foe,How cats read the invisible newspaper of smells that humans can't even imagine
plop,2,The dramatic flop a cat does when it decides this exact spot is nap time,The sound a chunky kitty makes when it drops onto the couch like a furry beanbag,A cat's graceful technique of simply falling over sideways when it's time to relax
swish,2,The elegant side-to-side motion of a cat's tail when something has its attention,A fluffy tail sweeping back and forth like a furry windshield wiper,The graceful tail wave that means a kitty is thinking about pouncing on something
doze,1,"A light, dreamy sleep where a cat's ears still twitch at every tiny sound",The half-awake nap a kitty takes while pretending it's still on guard duty,"Drifting off to dreamland with one eye slightly open, just in case treats appear"
scoot,2,The speedy little shuffle a cat does across the floor when it spots a bug,"A quick, low-to-the-ground dash that makes a kitty look like a fuzzy hovercraft",The adorable wiggle-run cats do when they're too excited to walk normally
flick,2,The quick tail-tip twitch that means a cat is mildly annoyed or very focused,A tiny ear movement cats make when they hear a sound but are too comfy to look,The rapid paw bat a kitty gives to a toy to send it flying across the room
munch,2,The happy crunching sound a cat makes while devouring its favorite kibble,Nom-nom-nomming on treats with the enthusiasm of a tiny furry food critic,The adorable chewing a kitty does that makes mealtime sound like a tiny celebration
slink,2,"The smooth, low creep a sneaky cat does when it's on a top-secret mission","Moving like liquid silk across the floor, the way only a stealthy kitty can",The mysterious glide cats do when they're pretending to be invisible ninjas
claw,2,"A single sharp, curved hook hidden inside a soft, innocent-looking paw","The tiny retractable blade a kitty uses for climbing, scratching, and gentle love-pricks",A cat's secret weapon that pops out only when it's time to play or scale the curtains
mrow,2,"The weird, wobbly meow a cat makes when it's feeling extra dramatic about something","A goofy, drawn-out kitty sound that's half meow and half questionable life choices","The funny noise cats make at 2 AM that sounds like a tiny, furry opera singer"
zoom,2,The sudden burst of speed that turns a sleepy cat into a furry rocket ship,Racing through the house at top speed for absolutely no reason whatsoever,The turbo mode cats activate at midnight that sounds like a stampede of tiny hooves
hug,2,When a cat wraps its paws around your arm and holds on with all its fuzzy might,The sweetest kitty embrace that melts your heart and sometimes traps your hand,"A warm, furry squeeze from a cat who wants you to know you're their favorite human"
rub,1,The full-body smoosh a cat does against your legs to mark you as its property,A kitty's way of giving you a fuzzy massage while secretly leaving its scent on you,"The warm, soft press of a cat's cheek against your hand asking for more attention"
yowl,2,The loud dramatic cry a cat makes when it has very strong feelings about something,A long howling meow that means a kitty is either upset or auditioning for a cat opera,The wailing sound that makes you rush over to check if your cat is okay or just being dramatic
huff,1,The tiny annoyed breath a cat lets out when things are not going its way,A little puff of air from a grumpy kitty who wanted tuna but got kibble,The cat version of an eye roll expressed as one short frustrated breath
squeak,2,The adorable high-pitched sound a surprised kitty makes instead of a proper meow,A tiny eep that happens when you accidentally step near a sleeping cat,The cutest noise in the world that comes out of cats who forgot how to meow
fangs,2,The two tiny sharp teeth that poke out when a cat gives you a vampire smile,"Little pointy daggers hidden in a cute face, perfect for chomping treats",The teeny teeth that make every yawning cat look like a fluffy little Dracula
beans,3,The squishy pink pads on a kitty's paws that look like tiny jelly candies,The most adorable part of any cat foot that everyone wants to squish and squeeze,Little round toe pads that come in pink and black and are always worth booping
snoot,2,The cute pointy nose area of a cat that is always begging to be booped,A kitty's adorable little snout that twitches when it smells something interesting,The soft fuzzy nose zone that cats push into your hand when they want attention
tummy,2,The fluffy belly of a cat that looks so soft but might be a trap,"A kitty's round, furry underside that is either a cuddle zone or a danger zone",The irresistibly soft cat belly that tempts you even though you know the risks
whisker,2,One of the long magical feelers on a cat's face that helps it sense the world,A single bendy hair that tells a kitty if it can fit through a space,The fancy face antenna that makes cats look wise and distinguished
ragdoll,3,A big floppy cat with blue eyes that goes limp like a stuffed animal when you hold it,The cuddliest cat breed that melts into your arms like a furry puddle,A gorgeous blue-eyed kitty that's basically a living breathing teddy bear
siamese,2,A chatty cat with beautiful blue eyes and a creamy coat with dark points,The talkative kitty that always has something to say about everything,A sleek cat with a dark face and paws that looks like it's wearing a fancy mask
persian,2,A squishy-faced cat with the fluffiest fur and the most regal attitude,The poufy glamorous kitty that looks like royalty lounging on a velvet pillow,A flat-faced fluffball that always looks slightly unimpressed with everything
zoomies,3,The wild burst of energy that makes a cat sprint laps around the house like a race car,"The sudden unstoppable need to run at top speed, usually at 3 AM",When a calm kitty suddenly transforms into a furry tornado for no reason at all
wiggle,2,The adorable butt-shake a cat does right before it pounces on something,The pre-launch wobble that means a kitty is locked on its target and ready to leap,A funny little shimmy that gets a cat's whole back end moving before the big jump
tumble,1,"The clumsy roll a kitten does when it tries to be graceful but fails adorably",A silly somersault that happens when a cat misjudges a jump just a little bit,The goofy rolling fall that kittens do on purpose and adult cats pretend never happened
bat,1,"The quick little paw tap a cat gives to anything interesting, suspicious, or small","A gentle smack-smack-smack a kitty does to test if something is alive, dangerous, or fun",The classic cat move of tapping an object off the table one paw-push at a time
roll,1,The happy flopping motion a cat does on its back when it's feeling silly and playful,A wiggly back-and-forth that means a kitty is having the best time on the carpet,The goofy move where a cat flops over and shows its tummy to the whole world
dig,1,The frantic scratching motion cats make in their litter or on the carpet,A kitty's enthusiastic pawing at blankets to make the purrfect sleeping nest,The determined digging a cat does even on hard floors where there is nothing to dig
lap,1,The warm cozy spot on a human's legs that every cat considers its personal throne,A kitty's favorite seat in the house that just happens to be attached to a person,The prime napping real estate that cats claim the second you sit down
fetch,1,The surprising trick some cats actually do when they bring back a tossed toy,A dog move that certain clever kitties have learned to do with their favorite toys,The game where a cat retrieves a toy and drops it at your feet demanding another throw
snore,1,The tiny rumbling sound a deeply sleeping cat makes that is somehow adorable,The soft buzzy breathing noise a kitty makes when it's lost in dreamland,Little sleepy noises that prove a cat is having the most relaxing nap ever
wink,1,The slow one-eyed blink a cat gives you that means I trust you with my whole heart,A kitty's way of sending a secret love message with just one eye,The cutest one-eye-closed look that makes you feel like the most special human alive
peek,1,The sneaky little head-pop a cat does when checking if the coast is clear,A curious kitty peering around a corner with just its eyes and ears visible,The stealthy look-around cats do before committing to entering a room
chonk,3,A delightfully round and chunky cat that is shaped like a fuzzy bowling ball,"An absolute unit of a kitty, big and round and proud of every ounce","The internet's favorite word for a cat who clearly never skips treat time"
smol,2,An extremely tiny cat or kitten that is almost too small and cute to be real,The internet word for when a kitty is so little it makes your heart explode,A teeny weeny cat so small it could probably ride around in your pocket
void,2,A solid black cat that looks like a little piece of the midnight sky with eyes,A dark kitty that becomes invisible at night except for two glowing eyes,The spooky-cute name for a black cat that disappears into every shadow
flop,2,The dramatic sideways fall a cat does when it decides gravity is optional,The boneless collapse of a kitty who has reached maximum relaxation levels,When a cat simply gives up on standing and melts onto the nearest surface
bell,1,"The tiny jingly ball on a cat's collar that goes ding-ding-ding everywhere",A small jingling sphere that lets you know where your sneaky kitty is hiding,"The little round noisemaker that turns a silent ninja cat into a walking wind chime"
fish,1,The number one favorite food that makes every cat lose its mind with excitement,The yummy treat that cats can smell from three rooms away and always want more of,A kitty's dream meal that turns even the pickiest eater into a happy muncher
tuna,2,The ultimate cat delicacy that can wake a sleeping kitty from across the house,The magical can of fish that makes cats appear out of thin air when you open it,The fancy feast that turns every cat into your new best friend immediately
mouse,1,"A tiny squeaky creature that cats are born to chase, real or stuffed",The little critter that makes cats go into full hunter mode in two seconds flat,Every cat's favorite thing to catch whether it's alive or made of felt and catnip
string,2,The simple toy that provides a cat with hours of batting and tangling entertainment,A wiggly dangly thing that no cat on earth can resist chasing and grabbing,The cheapest and most beloved cat toy that beats any fancy gadget every time
sun spot,3,The warm patch of sunshine on the floor that cats guard like buried treasure,A golden square of sunlight that is the most valuable real estate in any cat's home,The toasty warm spot that moves across the floor with a cat following right behind it
lap cat,2,A kitty that lives for sitting on people and refuses to let them stand up,"A cat whose favorite hobby is parking itself on a warm human, purring loudly",The type of cat that turns every sitting-down moment into mandatory cuddle time
cat flap,2,The tiny swinging door that lets a kitty come and go like it owns the place,A small hinged opening that gives cats the freedom to patrol the yard whenever they want,The mini entrance that cats use at maximum speed especially at 5 AM
slow blink,3,The long dreamy eye-close a cat gives you that is basically a kitty kiss,The gentle blinking motion that scientists proved means a cat really loves you,A cat's way of saying I feel totally safe with you using only its eyelids
big stretch,3,The full-body extension a cat does after a nap that looks like kitty yoga,"The long, dramatic reaching stretch that makes a cat twice its normal length",The after-nap routine where every leg and toe goes as far as it possibly can
nine lives,3,The magical power people say cats have because they always land on their feet,The legendary extra chances that explain how cats survive their wildest adventures,"The mythical kitty superpower that makes them seem invincible, brave, and lucky"
scaredy cat,2,A timid little kitty that jumps at cucumbers and runs from its own shadow,A nervous cat that thinks everything new is extremely suspicious and scary,The fraidy-cat who hides under the bed when someone knocks on the door
fish face,1,The funny face a cat makes when it opens its mouth to smell something extra stinky,The hilarious wide-eyed open-mouth look cats get when they use their special smell sensor,The goofy expression called flehmen that makes cats look totally shocked and silly
love bite,2,The gentle little chomp a cat gives your hand when it feels extra affectionate,A soft nibble that means a kitty loves you so much it could just eat you up,The tiny teeth-press that walks the line between I love you and I might nom you
cat scan,2,The intense staring a cat does when it's judging everything in the room,"A kitty's thorough visual inspection of any new object, person, or suspicious shadow","When a cat slowly looks around a room like it's running a furry security check"
